POLITICAL_UNIT,NAME,WGMS_ID,YEAR,SURVEY_DATE,HIGHEST_ELEVATION,MEDIAN_ELEVATION,LOWEST_ELEVATION,ELEVATION_UNC,LENGTH,LENGTH_UNC,AREA,AREA_UNC,SURVEY_PLATFORM_METHOD,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
AF,UNNAMED 15988,15988,1998,,5726,5221,4690,,,,7.4200001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15991,15991,1998,,5562,4964,4634,,,,4.77,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15992,15992,1998,,6038,4986,4561,,,,9.5799999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15993,15993,1998,,5373,4970,4630,,,,3.52,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15994,15994,1998,,5439,4937,4687,,,,3.4100001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15995,15995,1998,,5840,5088,4462,,,,23.540001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16005,16005,1998,,5668,4959,4661,,,,5.2800002,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16010,16010,1998,,5780,5142,4532,,,,18.389999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16012,16012,1998,,5561,5113,4657,,,,5.1500001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16013,16013,1998,,5462,4958,4656,,,,2.28,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16014,16014,1998,,5566,5066,4773,,,,4.2600002,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16018,16018,1998,,6243,5152,4438,,,,18.540001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16022,16022,1998,,5617,4957,4373,,,,4.7800002,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16027,16027,1998,,5708,4988,4229,,,,4.8400002,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16028,16028,1998,,5414,4943,4585,,,,2.9100001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16029,16029,1998,,5575,5045,4754,,,,2.96,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16034,16034,1998,,5499,4912,4605,,,,2.5799999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16035,16035,1998,,5441,4968,4635,,,,2.9000001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16036,16036,1998,,5289,4822,4524,,,,2.48,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16037,16037,1998,,5664,5079,4734,,,,5.9499998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16039,16039,1998,,5524,4939,4536,,,,4.3899999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16040,16040,1998,,5487,5132,4831,,,,2.6400001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16042,16042,1998,,5349,4894,4351,,,,5.5999999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16046,16046,1998,,5403,4843,4250,,,,2.96,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16047,16047,1998,,5129,4840,4620,,,,2.0599999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16050,16050,1998,,5567,4841,4494,,,,2.5999999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16056,16056,1998,,5684,4822,4254,,,,6.1500001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16057,16057,1998,,5392,4850,4506,,,,2.78,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16066,16066,1998,,5845,4840,4272,,,,5.9499998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16082,16082,1998,,5927,4787,4313,,,,6.7199998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16086,16086,1998,,5589,4714,4299,,,,6.5,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16089,16089,1998,,5336,4871,4287,,,,6.6399999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16516,16516,1998,,5656,5230,4805,,,,9.3699999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 16530,16530,1998,,5866,4997,4341,,,,12.0,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17193,17193,1998,,5666,5267,4847,,,,2.4000001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17195,17195,1998,,5717,5219,4795,,,,4.2199998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17197,17197,1998,,5488,5090,4855,,,,2.5899999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17198,17198,1998,,5497,5070,4833,,,,2.8199999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17712,17712,2000,,5535,5252,5009,,,,2.27,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17713,17713,2000,,5591,5151,4731,,,,6.0,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17714,17714,2000,,5786,5335,4881,,,,2.49,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17715,17715,2000,,5629,5211,4973,,,,3.6800001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17716,17716,2000,,5684,5264,4806,,,,4.8499999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17717,17717,2000,,5616,5299,4978,,,,4.96,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17718,17718,2000,,5706,5250,4685,,,,5.3800001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17719,17719,2000,,5772,5329,4898,,,,3.0899999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17720,17720,2000,,5601,5216,4783,,,,2.4000001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17721,17721,2000,,5661,5304,4890,,,,2.05,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17722,17722,2000,,5608,5275,4964,,,,2.8599999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17723,17723,2000,,5767,5186,4770,,,,5.02,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17724,17724,2000,,5612,5209,4852,,,,2.28,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17725,17725,2000,,5599,5212,4848,,,,5.2199998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17726,17726,2000,,5712,5233,4937,,,,4.1500001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17727,17727,2000,,5676,5100,4742,,,,2.24,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17728,17728,2000,,5695,5210,4690,,,,2.6199999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17729,17729,2000,,5690,5245,4867,,,,3.4000001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17730,17730,2000,,5702,5123,4690,,,,7.6599998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17731,17731,2000,,5609,5162,4835,,,,2.28,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17732,17732,1999,,5550,5250,4760,,,,2.1600001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17733,17733,1999,,5269,4611,4320,,,,2.25,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17734,17734,1999,,5290,4877,4586,,,,2.9100001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17735,17735,1999,,5872,4875,4130,,,,15.42,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17771,17771,1999,,5866,4958,4554,,,,8.2399998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17772,17772,1999,,5702,5088,4509,,,,10.71,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17785,17785,2002,,5657,4862,4512,,,,10.07,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17786,17786,2002,,5942,4869,4304,,,,15.57,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17787,17787,2002,,5101,4549,3891,,,,16.58,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17788,17788,2002,,5773,5209,4589,,,,2.74,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17789,17789,2002,,6291,5556,5014,,,,2.24,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17790,17790,2002,,6285,5260,3128,,,,39.330002,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17791,17791,2002,,6662,4913,4216,,,,13.31,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17797,17797,2002,,6589,5024,4271,,,,11.81,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17798,17798,2002,,5505,4901,4426,,,,7.9200001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17799,17799,2002,,6811,4956,4043,,,,28.17,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17800,17800,2002,,5825,5219,4531,,,,2.9100001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17801,17801,2002,,6261,4792,4045,,,,7.9099998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17803,17803,2002,,5907,5030,3973,,,,10.09,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17823,17823,2000,,6785,5654,4485,,,,2.99,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17824,17824,2000,,5351,5054,4778,,,,2.1199999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17825,17825,2000,,5556,4839,4530,,,,2.6400001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17826,17826,2000,,5649,5110,4446,,,,2.1600001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17827,17827,2000,,5501,4808,4262,,,,4.75,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17828,17828,2000,,5267,4739,4434,,,,3.8099999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17829,17829,2000,,4994,4551,4364,,,,2.8,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17830,17830,2000,,5720,4874,4403,,,,2.28,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17831,17831,2000,,6451,4778,4348,,,,2.02,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17832,17832,2000,,5946,4884,4473,,,,4.1900001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17833,17833,2000,,5959,5312,4912,,,,3.25,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17834,17834,2000,,6003,5543,4967,,,,2.3199999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17835,17835,2000,,5996,4949,4377,,,,2.48,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17836,17836,2000,,6139,5129,4670,,,,2.3,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17837,17837,2000,,6115,5070,4214,,,,3.1700001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17838,17838,2000,,6397,5436,4221,,,,5.9899998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17839,17839,2000,,5876,4852,4119,,,,2.6600001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17840,17840,2000,,5767,5115,4259,,,,2.3699999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17841,17841,2000,,5910,5133,4571,,,,2.6400001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17842,17842,2000,,5743,5154,4318,,,,4.27,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17843,17843,2000,,6083,5135,4040,,,,13.37,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17844,17844,2000,,6515,5229,4323,,,,20.459999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17845,17845,2000,,5559,5043,4714,,,,3.4100001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17847,17847,2000,,5560,5199,4885,,,,2.8499999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17848,17848,2000,,5704,5028,4764,,,,2.22,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17849,17849,2000,,5415,4987,4710,,,,2.45,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17850,17850,2000,,4979,4706,4510,,,,2.3,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17851,17851,2000,,5693,5260,4791,,,,2.6600001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17894,17894,2000,,5576,4966,4784,,,,2.2,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17900,17900,2000,,6048,5592,5369,,,,2.0999999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17901,17901,2000,,5967,5256,4580,,,,2.0599999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17902,17902,2000,,5844,5190,4842,,,,2.0699999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17905,17905,2000,,6922,5156,4163,,,,16.719999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17907,17907,2000,,6925,5450,4683,,,,3.3499999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17908,17908,2000,,6443,5277,4723,,,,2.6099999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17909,17909,2000,,6429,5179,4264,,,,8.1700001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17910,17910,2000,,6415,5352,4504,,,,2.9100001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17911,17911,2000,,5745,4244,3704,,,,3.1400001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17916,17916,2000,,6785,5134,3776,,,,15.61,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17918,17918,2000,,6157,5125,4407,,,,7.4200001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17924,17924,2000,,5735,5127,4772,,,,2.0599999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17925,17925,2000,,5478,4541,4165,,,,3.3,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17936,17936,2001,,5171,4775,4499,,,,4.7399998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 17937,17937,2002,,5445,4846,4458,,,,2.6700001,,,,,RGI5.0,Information derived from RGI5.0.
